       11	2016-01-04 08:19:03	11	0	1	0
        4	2016-01-04 08:31:39	11	0	1	0
        2	2016-01-04 08:38:54	11	0	1	0
        8	2016-01-04 08:42:27	11	0	1	0
        8	2016-01-04 17:37:07	11	0	1	0
        4	2016-01-04 17:38:06	11	0	1	0
        5	2016-01-04 17:46:22	11	0	1	0
       11	2016-01-04 18:29:29	11	0	1	0
        2	2016-01-04 18:40:20	11	0	1	0
       11	2016-01-05 08:23:42	11	0	1	0
        8	2016-01-05 08:25:39	11	0	1	0
        2	2016-01-05 08:39:50	11	0	1	0
        4	2016-01-05 17:49:42	11	0	1	0
        5	2016-01-05 18:28:52	11	0	1	0
        2	2016-01-05 19:19:02	11	0	1	0
       11	2016-01-05 20:20:43	11	0	1	0
       11	2016-01-06 08:21:58	11	0	1	0
        8	2016-01-06 08:25:23	11	0	1	0
        2	2016-01-06 08:28:58	11	0	1	0
        4	2016-01-06 17:38:55	11	0	1	0
        5	2016-01-06 17:59:10	11	0	1	0
       11	2016-01-06 18:00:14	11	0	1	0
        2	2016-01-06 18:59:55	11	0	1	0
       11	2016-01-07 08:25:51	11	0	1	0
        4	2016-01-07 08:29:34	11	0	1	0
        8	2016-01-07 08:29:37	11	0	1	0
        2	2016-01-07 08:33:09	11	0	1	0
        5	2016-01-07 08:33:12	11	0	1	0
        4	2016-01-07 17:52:32	11	0	1	0
        5	2016-01-07 18:14:49	11	0	1	0
       11	2016-01-07 18:14:57	11	0	1	0
        2	2016-01-07 18:51:43	11	0	1	0
        5	2016-01-08 08:21:57	11	0	1	0
       11	2016-01-08 08:24:48	11	0	1	0
        8	2016-01-08 08:27:20	11	0	1	0
        4	2016-01-08 08:29:48	11	0	1	0
        8	2016-01-07 17:43:21	11	0	1	0
        8	2016-01-06 17:43:43	11	0	1	0
        4	2015-12-30 08:29:30	11	0	1	0
        4	2015-12-31 08:29:39	11	0	1	0
        8	2015-12-02 17:37:06	11	0	1	0
        8	2015-12-09 08:30:35	11	0	1	0
        8	2015-11-09 08:30:55	11	0	1	0
        8	2015-12-09 08:30:19	11	0	1	0
